planning_group,outcome,n_total,n_valid,n_missing,mean,std,median,q1,q3,iqr,mode,mode_n,mode_share,scale_type,scale_version,std_ddof,quantile_method
high,rework_churn_t3,6,6,0,2093.0,2211.2393809807204,1133.5,636.0,3632.75,2996.75,1154.0,1,0.16666666666666666,evaluator_or_churn_outcome,v1,1,linear
high,rework_ratio_t3,6,6,0,0.45270172277489945,0.39147201738109844,0.4998907668826278,0.12311814863790993,0.6638727903286642,0.5407546416907543,0.44282425172678436,1,0.16666666666666666,evaluator_or_churn_outcome,v1,1,linear
high,project_progress_mean_t3,6,6,0,3.4791666666666665,0.6475112611633356,3.8333333333333335,3.2083333333333335,3.8333333333333335,0.625,3.8333333333333335,3,0.5,evaluator_or_churn_outcome,v1,1,linear
high,scope_applicability_mean_t3,6,6,0,1.7986111111111114,0.3559188681999603,2.0,1.75,2.0,0.25,2.0,4,0.6666666666666666,evaluator_or_churn_outcome,v1,1,linear
high,technical_complexity_mean_t3,6,6,0,1.798611111111111,0.3399516577833231,1.9166666666666665,1.8333333333333333,2.0,0.16666666666666674,2.0,3,0.5,evaluator_or_churn_outcome,v1,1,linear
high,engagement_participation_mean_t3,6,6,0,1.673611111111111,0.3077885577735084,1.6666666666666665,1.40625,1.9583333333333333,0.5520833333333333,2.0,2,0.3333333333333333,evaluator_or_churn_outcome,v1,1,linear
low,rework_churn_t3,8,8,0,14102.875,35038.344189667005,1145.0,129.0,3823.0,3694.0,0.0,2,0.25,evaluator_or_churn_outcome,v1,1,linear
low,rework_ratio_t3,8,8,0,0.3726491161091422,0.37933622123379274,0.31029673271892483,0.044074056648160345,0.5618345354411336,0.5177604787929733,0.0,2,0.25,evaluator_or_churn_outcome,v1,1,linear
low,project_progress_mean_t3,8,8,0,3.598958333333333,0.7332580792015085,3.854166666666667,3.6875,4.0,0.3125,4.0,3,0.375,evaluator_or_churn_outcome,v1,1,linear
low,scope_applicability_mean_t3,8,8,0,1.9375,0.12400396819047414,2.0,1.9583333333333333,2.0,0.04166666666666674,2.0,6,0.75,evaluator_or_churn_outcome,v1,1,linear
low,technical_complexity_mean_t3,8,8,0,1.8645833333333335,0.13864065117681088,1.875,1.7916666666666665,2.0,0.20833333333333348,2.0,3,0.375,evaluator_or_churn_outcome,v1,1,linear
low,engagement_participation_mean_t3,8,8,0,1.828125,0.15817269419996674,1.8333333333333333,1.8125,1.90625,0.09375,1.8333333333333333,3,0.375,evaluator_or_churn_outcome,v1,1,linear
